timestamp,close,high,low,n,open,volume,vw
2025-01-15 20:00:00+00:00,592.75,593.94,592.68,4185,593.4,342392,593.278728
2025-01-15 21:00:00+00:00,592.77,592.77,592.77,3,592.77,200,592.77
2025-01-16 14:00:00+00:00,592.15,594.235,592.065,987,594.06,91351,593.171694
2025-01-16 15:00:00+00:00,593.41,593.45,591.335,1293,591.8,93012,592.491614
2025-01-16 16:00:00+00:00,593.52,594.34,591.845,1583,593.405,138173,593.352962
2025-01-16 17:00:00+00:00,592.98,593.805,592.79,1012,593.425,63307,593.24874
2025-01-16 18:00:00+00:00,591.465,593.525,590.93,1319,592.92,82313,592.156879
2025-01-16 19:00:00+00:00,593.0,593.07,591.075,1545,591.41,76410,592.403095
2025-01-16 20:00:00+00:00,591.7,593.3,591.5,2581,592.88,178871,592.392666
2025-01-16 21:00:00+00:00,590.96,591.35,590.96,2,591.35,200,591.155
2025-01-17 14:00:00+00:00,596.28,597.2,595.725,1288,596.95,105218,596.598785
2025-01-17 15:00:00+00:00,598.05,598.11,596.09,1748,596.32,140552,597.12066
2025-01-17 16:00:00+00:00,598.27,599.045,597.72,1127,598.035,77206,598.477418
2025-01-17 17:00:00+00:00,598.92,599.08,597.835,1034,598.02,74257,598.647373
2025-01-17 18:00:00+00:00,598.58,599.345,598.24,1035,598.89,64059,598.909561
2025-01-17 19:00:00+00:00,598.27,598.715,598.03,1208,598.69,72203,598.458175
2025-01-17 20:00:00+00:00,597.64,598.575,597.36,2601,598.22,287589,597.984234
2025-01-17 21:00:00+00:00,597.33,597.42,597.33,2,597.42,400,597.3975
2025-01-21 14:00:00+00:00,600.3,601.45,599.27,1136,600.15,92931,600.240431
2025-01-21 15:00:00+00:00,600.395,600.57,598.72,1545,600.18,82061,599.975208
2025-01-21 16:00:00+00:00,601.34,601.41,599.87,1371,600.27,70383,600.726514
2025-01-21 17:00:00+00:00,602.445,602.49,600.935,1269,601.04,71561,601.68874
2025-01-21 18:00:00+00:00,602.615,602.87,602.105,1273,602.43,78003,602.498742
2025-01-21 19:00:00+00:00,602.145,602.8,601.685,1583,602.6,81089,602.183521
2025-01-21 20:00:00+00:00,602.92,602.97,602.01,2784,602.18,181672,602.546274
2025-01-21 21:00:00+00:00,603.05,603.05,603.04,22,603.05,10414,603.048857
