timestamp,close,high,low,n,open,volume,vw
2024-08-12 15:00:00+00:00,196.82,198.29,194.825,1276,197.235,107851,196.519872
2024-08-12 16:00:00+00:00,196.47,197.97,196.47,747,196.885,50375,197.154339
2024-08-12 17:00:00+00:00,198.06,198.19,196.22,824,196.43,103507,197.347614
2024-08-12 18:00:00+00:00,198.26,198.8,198.0,752,198.1,59951,198.382127
2024-08-12 19:00:00+00:00,197.55,198.33,197.07,1690,198.33,135102,197.67834
2024-08-13 13:00:00+00:00,203.36,203.93,197.1,1945,198.61,156497,200.985841
2024-08-13 14:00:00+00:00,205.65,206.53,202.97,2210,203.57,142171,204.955003
2024-08-13 15:00:00+00:00,204.88,205.78,204.3,1285,205.535,76752,205.038752
2024-08-13 16:00:00+00:00,206.4,206.69,204.52,1177,204.86,71700,205.661343
2024-08-13 17:00:00+00:00,206.54,208.44,205.84,1553,206.39,95208,207.340663
2024-08-13 18:00:00+00:00,207.395,207.4,205.82,1077,206.625,76165,206.646257
2024-08-13 19:00:00+00:00,207.9,208.42,206.065,2721,207.42,213562,207.468769
2024-08-13 20:00:00+00:00,207.11,207.11,207.11,1,207.11,100,207.11
2024-08-14 13:00:00+00:00,202.885,208.33,202.11,887,207.5,72324,204.42087
2024-08-14 14:00:00+00:00,202.08,203.7,199.81,1528,202.61,133820,201.633165
2024-08-14 15:00:00+00:00,203.16,203.3,200.87,762,202.215,56593,202.007265
2024-08-14 16:00:00+00:00,199.825,203.04,198.8,991,203.04,74251,200.468423
2024-08-14 17:00:00+00:00,200.4,200.84,199.72,499,199.72,29179,200.360031
2024-08-14 18:00:00+00:00,200.64,200.84,199.84,638,200.18,38189,200.349762
2024-08-14 19:00:00+00:00,201.37,201.64,199.73,1493,200.67,91111,200.593998
2024-08-15 13:00:00+00:00,210.99,212.37,205.04,1906,205.29,180392,209.943804
2024-08-15 14:00:00+00:00,214.59,215.74,210.98,2358,210.98,229791,213.981361
2024-08-15 15:00:00+00:00,213.88,215.44,213.21,1401,214.815,118515,214.160111
2024-08-15 16:00:00+00:00,213.635,214.33,212.86,907,213.85,57406,213.680927
2024-08-15 17:00:00+00:00,215.04,215.83,213.26,957,213.61,74946,214.585961
2024-08-15 18:00:00+00:00,213.82,215.0,213.66,960,215.0,69425,214.161445
2024-08-15 19:00:00+00:00,214.205,215.05,213.53,2230,213.81,182664,214.131808
2024-08-16 13:00:00+00:00,217.85,218.46,210.9,1520,211.08,139536,215.398381
2024-08-16 14:00:00+00:00,215.28,219.77,214.88,2394,217.92,214878,218.0665
2024-08-16 15:00:00+00:00,215.7,216.44,214.12,1350,215.42,100315,215.119645
2024-08-16 16:00:00+00:00,217.11,217.39,215.03,891,215.83,45596,216.212831
2024-08-16 17:00:00+00:00,217.705,218.04,216.825,971,217.16,54862,217.458191
2024-08-16 18:00:00+00:00,216.26,217.745,215.62,1021,217.745,66713,216.132793
2024-08-16 19:00:00+00:00,216.19,216.67,215.74,1832,216.25,120556,216.322957
2024-08-19 13:00:00+00:00,216.97,219.68,214.14,1248,217.09,125742,216.675976
2024-08-19 14:00:00+00:00,219.95,222.31,216.14,2250,217.27,175162,220.405188
2024-08-19 15:00:00+00:00,219.97,221.18,218.94,1297,220.14,78206,220.175497
2024-08-19 16:00:00+00:00,221.05,221.62,219.42,839,220.01,51363,220.802038
2024-08-19 17:00:00+00:00,220.96,221.28,220.47,922,221.18,59866,220.96961
2024-08-19 18:00:00+00:00,222.31,222.9,220.42,1101,220.97,64795,221.715403
2024-08-19 19:00:00+00:00,222.73,222.97,221.86,2059,222.3,133877,222.521404
2024-08-20 13:00:00+00:00,225.45,228.15,224.59,1971,224.74,165235,226.042927
2024-08-20 14:00:00+00:00,220.78,225.41,219.575,3165,225.41,255515,221.508731
2024-08-20 15:00:00+00:00,223.17,223.175,220.73,1400,220.89,115103,221.887911
2024-08-20 16:00:00+00:00,220.94,223.42,220.8,1603,223.19,85448,222.675657
2024-08-20 17:00:00+00:00,221.05,221.43,220.08,886,220.91,46244,220.82786
2024-08-20 18:00:00+00:00,221.83,221.935,220.61,888,220.85,79392,221.411028
2024-08-20 19:00:00+00:00,221.09,222.47,221.01,1624,221.755,112927,221.579505
2024-08-21 13:00:00+00:00,222.65,224.59,220.9,949,222.0,67321,222.734501
2024-08-21 14:00:00+00:00,221.06,223.25,218.88,1643,222.62,107081,221.084431
2024-08-21 15:00:00+00:00,221.15,221.9,220.295,799,220.93,48450,221.054443
2024-08-21 16:00:00+00:00,221.72,222.11,219.34,892,220.92,57065,220.864983
2024-08-21 17:00:00+00:00,222.5,222.95,221.65,883,221.67,45326,222.318894
2024-08-21 18:00:00+00:00,222.72,223.94,222.51,749,222.51,53608,223.177144
2024-08-21 19:00:00+00:00,223.21,223.37,221.58,1608,222.81,105080,222.612319
2024-08-22 13:00:00+00:00,222.86,224.7,221.315,741,223.99,48862,222.604876
2024-08-22 14:00:00+00:00,217.905,223.21,217.81,1561,223.2,111659,220.038723
2024-08-22 15:00:00+00:00,216.05,219.06,215.54,1570,217.94,91330,217.508813
2024-08-22 16:00:00+00:00,216.55,217.83,215.85,915,215.94,42805,216.765763
2024-08-22 17:00:00+00:00,213.73,217.03,213.095,2074,216.57,90725,214.94816
2024-08-22 18:00:00+00:00,213.05,214.09,212.93,1410,213.635,74527,213.643553
2024-08-22 19:00:00+00:00,210.75,214.1,210.33,3103,213.1,206457,211.855779
2024-08-23 13:00:00+00:00,216.6,217.27,214.48,1426,214.505,98760,216.159445
2024-08-23 14:00:00+00:00,217.715,221.45,216.64,3356,216.67,256167,219.403002
2024-08-23 15:00:00+00:00,217.835,219.54,216.0,1451,217.72,98044,217.976213
2024-08-23 16:00:00+00:00,217.38,217.635,215.79,1243,217.335,81797,216.772965
2024-08-23 17:00:00+00:00,219.42,219.68,217.295,865,217.43,55814,218.616647
2024-08-23 18:00:00+00:00,219.53,220.095,219.19,799,219.4,51489,219.661975
2024-08-23 19:00:00+00:00,220.25,220.84,218.86,2163,219.4,154924,220.266714
2024-08-23 20:00:00+00:00,220.42,220.42,220.42,1,220.42,100,220.42
2024-08-26 13:00:00+00:00,217.39,218.95,216.26,1213,218.725,85819,217.282251
2024-08-26 14:00:00+00:00,213.04,217.62,211.515,2797,217.57,190622,213.487746
2024-08-26 15:00:00+00:00,212.36,213.81,212.1,1405,212.91,103651,213.100368
2024-08-26 16:00:00+00:00,213.675,214.27,212.17,1087,212.2,75644,213.361228
2024-08-26 17:00:00+00:00,211.45,213.665,211.29,1160,213.665,53256,212.327916
2024-08-26 18:00:00+00:00,213.24,213.27,211.01,1049,211.48,68735,212.07779
2024-08-26 19:00:00+00:00,213.24,213.43,212.26,1622,213.23,117268,213.012627
2024-08-27 13:00:00+00:00,209.39,215.59,209.0,875,213.28,75527,210.901179
2024-08-27 14:00:00+00:00,210.22,210.52,207.025,1658,209.635,126841,208.876058
2024-08-27 15:00:00+00:00,209.405,210.5,208.61,719,210.38,40597,209.596888
2024-08-27 16:00:00+00:00,209.45,210.39,208.74,826,209.39,50702,209.443636
2024-08-27 17:00:00+00:00,210.115,210.52,209.47,340,209.55,21147,209.954218
2024-08-27 18:00:00+00:00,210.21,210.26,209.16,504,210.08,37854,209.726978
2024-08-27 19:00:00+00:00,209.14,210.385,209.09,1256,210.2,82249,209.758643
2024-08-28 13:00:00+00:00,208.55,211.48,206.36,1445,209.75,95411,208.311066
2024-08-28 14:00:00+00:00,206.295,208.77,205.265,1205,208.64,92966,207.100174
2024-08-28 15:00:00+00:00,205.895,206.21,204.34,970,206.21,62370,205.323604
2024-08-28 16:00:00+00:00,206.64,206.76,204.2,764,205.75,63351,205.177701
2024-08-28 17:00:00+00:00,203.02,207.075,203.0,737,206.705,48183,205.420631
2024-08-28 18:00:00+00:00,204.58,204.75,202.6,891,203.1,73857,203.348238
2024-08-28 19:00:00+00:00,205.71,206.06,204.39,1370,204.605,92706,205.387724
2024-08-29 13:00:00+00:00,213.315,214.79,209.61,1557,209.82,134774,212.752121
2024-08-29 14:00:00+00:00,210.825,213.95,210.22,1180,213.36,101470,211.476112
2024-08-29 15:00:00+00:00,210.97,211.25,209.09,830,210.77,64981,210.335049
2024-08-29 16:00:00+00:00,212.155,212.75,210.85,563,211.03,37921,211.975818
2024-08-29 17:00:00+00:00,212.59,212.64,211.27,934,212.03,134097,211.814343
2024-08-29 18:00:00+00:00,207.01,212.57,206.5,1142,212.57,97781,208.641737
2024-08-29 19:00:00+00:00,206.31,207.97,205.98,1455,207.07,106836,206.892568
2024-08-30 13:00:00+00:00,209.83,210.345,207.15,824,208.79,59984,208.613586
2024-08-30 14:00:00+00:00,208.59,210.82,208.44,1005,209.8,90051,209.401297
2024-08-30 15:00:00+00:00,210.24,210.73,208.37,818,208.44,66541,209.620743
2024-08-30 16:00:00+00:00,209.685,210.28,208.49,891,209.6,120590,208.947874
2024-08-30 17:00:00+00:00,211.085,212.005,209.68,774,209.735,48259,210.966525
